System,Dataset,Model,Avg_MAPE,Avg_MAE,Avg_RMSE
lrzip,ambivert.wav.tar.csv,RandomForest,1.9540041781715116,17.56058128654971,27.676398102009713
lrzip,ambivert.wav.tar.csv,DecisionTree,2.493924064599451,20.8959649122807,36.56025143190758
lrzip,ambivert.wav.tar.csv,SVM,0.4318681405253982,11.004673876198746,25.898439144420774
lrzip,artificl.tar.csv,LinearRegression,14.087614150931245,1.2849000984979502,1.4398904828047234
lrzip,artificl.tar.csv,RandomForest,13.656922123737536,1.2330257309941521,1.4235772190683236
lrzip,artificl.tar.csv,DecisionTree,14.636335403362063,1.3560233918128655,1.972975014884611
lrzip,artificl.tar.csv,SVM,13.847233657344384,1.2226227460668466,1.5109666061771723
lrzip,deepfield.tar.csv,LinearRegression,1.470102713744116,14.65867831156716,24.620340903692334
lrzip,deepfield.tar.csv,RandomForest,1.840483356304193,16.75664912280702,26.645129111051336
lrzip,deepfield.tar.csv,DecisionTree,2.083162912115767,19.22017543859649,33.86230488810312
lrzip,deepfield.tar.csv,SVM,0.43111471419984887,10.765670318161602,25.04446295153623
lrzip,enwik8.tar.csv,LinearRegression,1.04127236862756,19.541034029782406,29.14497800820217
lrzip,enwik8.tar.csv,RandomForest,1.3030806937763055,21.685618128654966,31.593063179611363
lrzip,enwik8.tar.csv,DecisionTree,1.629217846269477,26.95479532163743,43.13147896745634
lrzip,enwik8.tar.csv,SVM,0.3225006580972965,14.195011967905321,30.265113172966934
lrzip,fannie_mae_500k.tar.csv,LinearRegression,0.1230035421723269,5.463800568652911,8.143302149347733
lrzip,fannie_mae_500k.tar.csv,RandomForest,0.14094413595898062,6.070044444444446,8.71592644543294
lrzip,fannie_mae_500k.tar.csv,DecisionTree,0.20055370753791854,8.4253216374269,12.260312988292702
lrzip,fannie_mae_500k.tar.csv,SVM,0.08976095953901875,4.3969570213154805,8.098695256438452
lrzip,large.tar.csv,LinearRegression,0.9829648650284382,2.3543999504245785,3.1106504931691763
lrzip,large.tar.csv,RandomForest,1.0690247415439103,2.4729046783625734,3.2178162592246107
lrzip,large.tar.csv,DecisionTree,1.348100602482014,3.1887719298245614,4.404444665916899
lrzip,large.tar.csv,SVM,0.7481278715727463,2.0731364674931343,2.9500009044456696
lrzip,misc.tar.csv,LinearRegression,2.73362099371937,1.2812308064428646,1.468695191191394
lrzip,misc.tar.csv,RandomForest,2.7381397195005626,1.2641052631578946,1.4835834924369518
lrzip,misc.tar.csv,DecisionTree,2.8399002984671196,1.503216374269006,2.06013916480712
lrzip,misc.tar.csv,SVM,2.622542965555089,1.2410990066857595,1.5064252256919024
lrzip,silesia.tar.csv,LinearRegression,1.1800760687809577,33.218184000554864,50.489304560801635
lrzip,silesia.tar.csv,RandomForest,1.4906558919096151,36.915984795321634,54.57859825090241
lrzip,silesia.tar.csv,DecisionTree,1.9152073694520755,45.098888888888894,73.638709734627
lrzip,silesia.tar.csv,SVM,0.33703420255080124,24.692183428336307,53.057922881270606
lrzip,uiq-32.bin.csv,LinearRegression,1.9090569133479793,56.162021684706644,85.19181862382902
lrzip,uiq-32.bin.csv,RandomForest,2.428322067158105,62.04158421052632,90.05221643928284
lrzip,uiq-32.bin.csv,DecisionTree,3.005852822362115,75.62345029239766,122.80391960868525
lrzip,uiq-32.bin.csv,SVM,0.40060926005259073,41.47896108319941,90.89862046493238
lrzip,uiq2-16.bin.csv,LinearRegression,1.7267167747610668,30.539544338798915,46.19599722239229
lrzip,uiq2-16.bin.csv,RandomForest,2.2251235722810048,34.28425614035088,50.163036704345586
lrzip,uiq2-16.bin.csv,DecisionTree,3.2036982334704747,44.50473684210527,71.67652506743094
lrzip,uiq2-16.bin.csv,SVM,0.4016152567373219,21.964350070332888,48.287609536381616
lrzip,uiq2-4.bin.csv,LinearRegression,1.1943887334266343,7.515342151705442,11.918593526710476
lrzip,uiq2-4.bin.csv,RandomForest,1.4822666978365897,8.437010526315788,12.795747220663296
lrzip,uiq2-4.bin.csv,DecisionTree,1.602467616823473,9.977894736842105,16.063892232936468
lrzip,uiq2-4.bin.csv,SVM,0.4944507757895673,5.728555496154672,11.972072037023471
lrzip,uiq2-8.bin.csv,LinearRegression,1.4218446786697527,15.266790634289938,23.346095024459043
lrzip,uiq2-8.bin.csv,RandomForest,1.7798038394895068,16.996519883040936,25.309422016075832
lrzip,uiq2-8.bin.csv,DecisionTree,2.012295122930609,18.929239766081874,32.29308934037461
lrzip,uiq2-8.bin.csv,SVM,0.4269542210009319,11.088392052505805,23.949213518356235
lrzip,vmlinux-5.10.tar.csv,LinearRegression,0.781779299267431,4.848137079000828,7.380530651394981
lrzip,vmlinux-5.10.tar.csv,RandomForest,0.930264210171905,5.353453216374267,7.842700056752288
lrzip,vmlinux-5.10.tar.csv,DecisionTree,1.0321109266828399,6.284093567251461,9.769066788787883
lrzip,vmlinux-5.10.tar.csv,SVM,0.4293173955344591,3.8610796380432313,7.259901736213446
x264,blue_sky_1080p25_short.y4m.csv,LinearRegression,0.7858906392098639,3.1347655622686887,4.062458669819944
x264,blue_sky_1080p25_short.y4m.csv,RandomForest,0.12023910882287688,1.1671716749940522,2.6191256382474077
x264,blue_sky_1080p25_short.y4m.csv,DecisionTree,0.12482858814586328,1.2088579586009993,3.4159901807931785
x264,blue_sky_1080p25_short.y4m.csv,SVM,0.19764160376089235,2.1892184967741506,4.789078885267487
x264,Johnny_1280x720_60_short.y4m.csv,LinearRegression,0.8959028708446061,2.568669586268075,3.3518259796824483
x264,Johnny_1280x720_60_short.y4m.csv,RandomForest,0.12479188249362087,0.938731202315806,2.177270091929127
x264,Johnny_1280x720_60_short.y4m.csv,DecisionTree,0.1258043029610417,0.9211259814418273,2.7700621103330065
x264,Johnny_1280x720_60_short.y4m.csv,SVM,0.20028513872915762,1.7251311497700037,3.782541145127569
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,LinearRegression,0.7852362529855927,8.695407873406106,11.25814598774904
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,RandomForest,0.11745511251383134,3.2140166560874888,7.181947449685098
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,DecisionTree,0.1260916230684143,3.4677177016416842,9.584457613273635
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,SVM,0.37993807640903404,8.621933809760861,17.174987349308708
x264,pedestrian_area_1080p25_short.y4m.csv,LinearRegression,0.7175037107030207,3.556281388592802,4.60553478539195
x264,pedestrian_area_1080p25_short.y4m.csv,RandomForest,0.1188119625499612,1.3570318367407637,3.0228522739673185
x264,pedestrian_area_1080p25_short.y4m.csv,DecisionTree,0.12384700952765999,1.3886456102783729,3.9002945261549624
x264,pedestrian_area_1080p25_short.y4m.csv,SVM,0.1972153003744278,2.595974252539802,5.710148572316958
x264,riverbed_1080p25_short.y4m.csv,LinearRegression,0.661900208312862,6.642411094729126,8.77655366333582
x264,riverbed_1080p25_short.y4m.csv,RandomForest,0.1224804898293309,2.6232618080905925,5.842922176962786
x264,riverbed_1080p25_short.y4m.csv,DecisionTree,0.12438990104269809,2.5418094218415415,7.2764168835321215
x264,riverbed_1080p25_short.y4m.csv,SVM,0.2603494398724416,5.813417209787747,12.512240901504661
x264,sd_bridge_close_cif_short.y4m.csv,LinearRegression,0.515381912172351,0.14070879638217038,0.1807697383984018
x264,sd_bridge_close_cif_short.y4m.csv,RandomForest,0.09055816896551026,0.05158777731042453,0.11143875750514871
x264,sd_bridge_close_cif_short.y4m.csv,DecisionTree,0.09974961394018737,0.055285510349750176,0.14791692510585586
x264,sd_bridge_close_cif_short.y4m.csv,SVM,0.266248233946016,0.08740009855508729,0.1221299567916907
x264,sd_city_4cif_short.y4m.csv,LinearRegression,0.8328176476924276,1.4788517864650998,1.9017464725039808
x264,sd_city_4cif_short.y4m.csv,RandomForest,0.12170248876585553,0.538237072796642,1.240679878759032
x264,sd_city_4cif_short.y4m.csv,DecisionTree,0.1283854951337022,0.5505781584582441,1.6000377391733476
x264,sd_city_4cif_short.y4m.csv,SVM,0.17846263668847348,0.8478739338572155,1.6911115149608815
x264,sd_crew_cif_short.y4m.csv,LinearRegression,0.6227875641749154,0.2441230035247887,0.31578874494572684
x264,sd_crew_cif_short.y4m.csv,RandomForest,0.10417306875103068,0.0902221905979856,0.2011176153470685
x264,sd_crew_cif_short.y4m.csv,DecisionTree,0.11062514601567107,0.09506067094932191,0.26787563875202136
x264,sd_crew_cif_short.y4m.csv,SVM,0.23818329392270274,0.12954348654014317,0.20921709710228206
x264,sintel_trailer_2k_720p24_short.y4m.csv,LinearRegression,0.5184362720751889,0.3703852960686322,0.46716476666607426
x264,sintel_trailer_2k_720p24_short.y4m.csv,RandomForest,0.09477005041002036,0.14133977499065298,0.3132008351356756
x264,sintel_trailer_2k_720p24_short.y4m.csv,DecisionTree,0.0995415436689882,0.14818700927908637,0.40855783508294136
x264,sintel_trailer_2k_720p24_short.y4m.csv,SVM,0.17913295739324617,0.18894206909085431,0.32438348666700567
xz,ambivert.wav.tar.csv,LinearRegression,1.4042011750732382,13.078845718114861,17.10689424232249
xz,ambivert.wav.tar.csv,RandomForest,0.024034529991308406,0.5401296726631398,1.2991768418291263
xz,ambivert.wav.tar.csv,DecisionTree,0.02775054399517375,0.6613879629629631,1.6549453503387277
xz,ambivert.wav.tar.csv,SVM,0.2685367310951018,8.717903023715271,20.4602053519094
xz,artificl.tar.csv,LinearRegression,0.2922980139000127,0.006318410474563617,0.007535213057339299
xz,artificl.tar.csv,RandomForest,0.3076848259479716,0.006719874448853614,0.008129826145983643
xz,artificl.tar.csv,DecisionTree,0.34749074074074077,0.007799074074074074,0.010606758018862092
xz,artificl.tar.csv,SVM,0.3414444444444444,0.006122222222222221,0.008931261628832806
xz,deepfield.tar.csv,LinearRegression,0.6168039646793241,5.588027191946381,7.519225159971299
xz,deepfield.tar.csv,RandomForest,0.025742598931481578,0.38190098267195727,0.7253640393075761
xz,deepfield.tar.csv,DecisionTree,0.02930847787117831,0.4480712962962962,0.8451018445888044
xz,deepfield.tar.csv,SVM,0.19846805040020962,2.8833625310524407,6.884440787444793
xz,enwik8.tar.csv,LinearRegression,2.107192112850487,71.28502775060433,93.05312473420763
xz,enwik8.tar.csv,RandomForest,0.07265001635135529,8.864802794664897,30.768822401532457
xz,enwik8.tar.csv,DecisionTree,0.07885381228289046,9.948591666666667,34.99946246497179
xz,enwik8.tar.csv,SVM,0.49996063161250864,55.936892361110075,134.48534963934827
xz,fannie_mae_500k.tar.csv,LinearRegression,0.9500013594264058,29.95564677604382,35.73714472427387
xz,fannie_mae_500k.tar.csv,RandomForest,0.024153722137883766,0.9811125469576725,1.818870349160562
xz,fannie_mae_500k.tar.csv,DecisionTree,0.025834657279796155,1.1225842592592592,2.279247311336984
xz,fannie_mae_500k.tar.csv,SVM,0.2521722713852479,21.01436688906538,46.65052746469644
